feature,importance,normalized_importance,cumulative_importance,selected,group,outer_fold
USAGE_OF_DRESSER_median,0.14388573,0.14388573,0.14388573,True,low,1
MAIN_OUTER_AIR_BAG_PRESSURE_q90,0.07863476,0.07863476,0.2225205,True,low,1
MAIN_OUTER_AIR_BAG_PRESSURE_q75,0.046557553,0.046557553,0.26907805,True,low,1
CENTER_AIR_BAG_PRESSURE_q90,0.033461757,0.033461757,0.3025398,True,low,1
CENTER_AIR_BAG_PRESSURE_q75,0.030152656,0.030152656,0.33269244,True,low,1
WAFER_ROTATION_seg2_mean,0.027824903,0.027824903,0.36051735,True,low,1
EDGE_AIR_BAG_PRESSURE_q75,0.027732527,0.027732527,0.38824987,True,low,1
USAGE_OF_DRESSER_TABLE_median,0.026356284,0.026356284,0.41460615,True,low,1
SLURRY_FLOW_LINE_C_q90,0.022732066,0.022732066,0.43733823,True,low,1
SLURRY_FLOW_LINE_C_q10,0.022049444,0.022049444,0.4593877,True,low,1
RIPPLE_AIR_BAG_PRESSURE_q75,0.021997942,0.021997942,0.48138562,True,low,1
PRESSURIZED_CHAMBER_PRESSURE_q75,0.020443413,0.020443413,0.501829,True,low,1
SLURRY_FLOW_LINE_C_q25,0.01798409,0.01798409,0.5198131,True,low,1
WAFER_ROTATION_std,0.014489203,0.014489203,0.5343023,True,low,1
RIPPLE_AIR_BAG_PRESSURE_seg3_std,0.014289907,0.014289907,0.5485922,True,low,1
RIPPLE_AIR_BAG_PRESSURE_q90,0.013468685,0.013468685,0.5620609,True,low,1
SLURRY_FLOW_LINE_C_seg1_std,0.0131594,0.0131594,0.5752203,True,low,1
SLURRY_FLOW_LINE_C_seg1_mean,0.012945814,0.012945814,0.5881661,True,low,1
PRESSURIZED_CHAMBER_PRESSURE_seg1_mean,0.012300026,0.012300026,0.60046613,True,low,1
PRESSURIZED_CHAMBER_PRESSURE_median,0.012074074,0.012074074,0.6125402,True,low,1
WAFER_ROTATION_seg1_std,0.0110791335,0.0110791335,0.6236193,True,low,1
USAGE_OF_BACKING_FILM_median,0.00988878,0.00988878,0.6335081,True,low,1
SLURRY_FLOW_LINE_C_q75,0.009149986,0.009149986,0.64265805,True,low,1
STAGE_ROTATION_seg1_mean,0.00890931,0.00890931,0.65156734,True,low,1
EDGE_AIR_BAG_PRESSURE_seg1_mean,0.008842202,0.008842202,0.66040957,True,low,1
SLURRY_FLOW_LINE_C_seg2_mean,0.00869189,0.00869189,0.6691015,True,low,1
SLURRY_FLOW_LINE_A_seg1_mean,0.008622725,0.008622725,0.6777242,True,low,1
WAFER_ROTATION_q75,0.008565178,0.008565178,0.68628937,True,low,1
WAFER_ROTATION_lag1_autocorr,0.008000143,0.008000143,0.6942895,True,low,1
SLURRY_FLOW_LINE_A_iqr,0.0078116143,0.0078116143,0.7021011,True,low,1
PRESSURIZED_CHAMBER_PRESSURE_q10,0.0077547096,0.0077547096,0.7098558,True,low,1
