group,outer_fold,model,inner_best_rmse,outer_rmse,outer_mae,best_params,n_selected_features,selected_features
low,1,XGBoost,4.851526765989419,7.005911663770651,5.669662354061192,"{""n_estimators"": 897, ""max_depth"": 4, ""learning_rate"": 0.019662217632109732, ""colsample_bytree"": 0.8006142311871662}",46,"[""USAGE_OF_DRESSER_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""USAGE_OF_DRESSER_TABLE_median"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q10"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q25"", ""WAFER_ROTATION_std"", ""RIPPLE_AIR_BAG_PRESSURE_seg3_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_median"", ""WAFER_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""SLURRY_FLOW_LINE_C_q75"", ""STAGE_ROTATION_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""WAFER_ROTATION_q75"", ""WAFER_ROTATION_lag1_autocorr"", ""SLURRY_FLOW_LINE_A_iqr"", ""PRESSURIZED_CHAMBER_PRESSURE_q10"", ""WAFER_ROTATION_seg2_std"", ""MAIN_OUTER_AIR_BAG_PRESSURE_std"", ""STAGE_ROTATION_seg1_std"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""PRESSURIZED_CHAMBER_PRESSURE_std"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""HEAD_ROTATION_q90"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_A_q75"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""STAGE_ROTATION_q75"", ""RETAINER_RING_PRESSURE_q90"", ""WAFER_ROTATION_seg3_mean""]"
low,1,RandomForest,5.025329296240459,9.02067288619004,7.923925753151008,"{""n_estimators"": 336, ""max_depth"": 16, ""min_samples_split"": 4, ""max_features"": 0.25389151410864097}",46,"[""USAGE_OF_DRESSER_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""USAGE_OF_DRESSER_TABLE_median"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q10"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q25"", ""WAFER_ROTATION_std"", ""RIPPLE_AIR_BAG_PRESSURE_seg3_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_median"", ""WAFER_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""SLURRY_FLOW_LINE_C_q75"", ""STAGE_ROTATION_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""WAFER_ROTATION_q75"", ""WAFER_ROTATION_lag1_autocorr"", ""SLURRY_FLOW_LINE_A_iqr"", ""PRESSURIZED_CHAMBER_PRESSURE_q10"", ""WAFER_ROTATION_seg2_std"", ""MAIN_OUTER_AIR_BAG_PRESSURE_std"", ""STAGE_ROTATION_seg1_std"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""PRESSURIZED_CHAMBER_PRESSURE_std"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""HEAD_ROTATION_q90"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_A_q75"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""STAGE_ROTATION_q75"", ""RETAINER_RING_PRESSURE_q90"", ""WAFER_ROTATION_seg3_mean""]"
low,1,SVR,5.36271496026305,6.654427606299895,5.279027538194397,"{""C"": 30.106950036401212, ""epsilon"": 0.018374232003777684, ""gamma"": 0.009736867808277094}",46,"[""USAGE_OF_DRESSER_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""USAGE_OF_DRESSER_TABLE_median"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q10"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q25"", ""WAFER_ROTATION_std"", ""RIPPLE_AIR_BAG_PRESSURE_seg3_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_median"", ""WAFER_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""SLURRY_FLOW_LINE_C_q75"", ""STAGE_ROTATION_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""WAFER_ROTATION_q75"", ""WAFER_ROTATION_lag1_autocorr"", ""SLURRY_FLOW_LINE_A_iqr"", ""PRESSURIZED_CHAMBER_PRESSURE_q10"", ""WAFER_ROTATION_seg2_std"", ""MAIN_OUTER_AIR_BAG_PRESSURE_std"", ""STAGE_ROTATION_seg1_std"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""PRESSURIZED_CHAMBER_PRESSURE_std"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""HEAD_ROTATION_q90"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_A_q75"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""STAGE_ROTATION_q75"", ""RETAINER_RING_PRESSURE_q90"", ""WAFER_ROTATION_seg3_mean""]"
low,2,XGBoost,5.20916328833873,6.59114960315106,5.451783936228833,"{""n_estimators"": 710, ""max_depth"": 2, ""learning_rate"": 0.022466754866224372, ""colsample_bytree"": 0.8645889424365993}",37,"[""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_DRESSER_TABLE_median"", ""WAFER_ROTATION_seg2_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""WAFER_ROTATION_slope"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""WAFER_ROTATION_seg1_mean"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""STAGE_ROTATION_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_spike_count"", ""SLURRY_FLOW_LINE_C_iqr"", ""STAGE_ROTATION_q75"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""STAGE_ROTATION_seg1_mean"", ""USAGE_OF_POLISHING_TABLE_median"", ""WAFER_ROTATION_seg1_std"", ""WAFER_ROTATION_seg3_std"", ""WAFER_ROTATION_q75"", ""SLURRY_FLOW_LINE_C_q75""]"
low,2,RandomForest,5.765783637261658,6.8521627597455605,5.708419748029803,"{""n_estimators"": 349, ""max_depth"": 13, ""min_samples_split"": 3, ""max_features"": 0.2998443190895604}",37,"[""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_DRESSER_TABLE_median"", ""WAFER_ROTATION_seg2_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""WAFER_ROTATION_slope"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""WAFER_ROTATION_seg1_mean"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""STAGE_ROTATION_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_spike_count"", ""SLURRY_FLOW_LINE_C_iqr"", ""STAGE_ROTATION_q75"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""STAGE_ROTATION_seg1_mean"", ""USAGE_OF_POLISHING_TABLE_median"", ""WAFER_ROTATION_seg1_std"", ""WAFER_ROTATION_seg3_std"", ""WAFER_ROTATION_q75"", ""SLURRY_FLOW_LINE_C_q75""]"
low,2,SVR,5.388589955806314,6.071427744289333,4.994129242579211,"{""C"": 59.58600879629599, ""epsilon"": 0.014941640857291332, ""gamma"": 0.009821274717455484}",37,"[""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_DRESSER_TABLE_median"", ""WAFER_ROTATION_seg2_std"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""WAFER_ROTATION_seg2_mean"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_std"", ""USAGE_OF_BACKING_FILM_median"", ""WAFER_ROTATION_slope"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""WAFER_ROTATION_seg1_mean"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""STAGE_ROTATION_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg2_std"", ""PRESSURIZED_CHAMBER_PRESSURE_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_spike_count"", ""SLURRY_FLOW_LINE_C_iqr"", ""STAGE_ROTATION_q75"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""STAGE_ROTATION_seg1_mean"", ""USAGE_OF_POLISHING_TABLE_median"", ""WAFER_ROTATION_seg1_std"", ""WAFER_ROTATION_seg3_std"", ""WAFER_ROTATION_q75"", ""SLURRY_FLOW_LINE_C_q75""]"
low,3,XGBoost,5.531563211329905,6.565029569774669,5.2720367304114655,"{""n_estimators"": 864, ""max_depth"": 2, ""learning_rate"": 0.019137633152001902, ""colsample_bytree"": 0.9603532571088401}",38,"[""USAGE_OF_DRESSER_TABLE_median"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg1_mean"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_BACKING_FILM_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""WAFER_ROTATION_seg2_std"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_q10"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg2_mean"", ""SLURRY_FLOW_LINE_C_seg1_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""WAFER_ROTATION_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""MAIN_OUTER_AIR_BAG_PRESSURE_seg1_mean"", ""STAGE_ROTATION_seg1_std"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_upper_tail_ratio"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_C_q75"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_B_seg1_std"", ""SLURRY_FLOW_LINE_B_seg1_mean"", ""STAGE_ROTATION_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_median""]"
low,3,RandomForest,6.541111056667473,6.981931451417987,5.570700409065095,"{""n_estimators"": 310, ""max_depth"": 19, ""min_samples_split"": 2, ""max_features"": 0.31640336410174175}",38,"[""USAGE_OF_DRESSER_TABLE_median"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg1_mean"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_BACKING_FILM_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""WAFER_ROTATION_seg2_std"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_q10"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg2_mean"", ""SLURRY_FLOW_LINE_C_seg1_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""WAFER_ROTATION_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""MAIN_OUTER_AIR_BAG_PRESSURE_seg1_mean"", ""STAGE_ROTATION_seg1_std"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_upper_tail_ratio"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_C_q75"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_B_seg1_std"", ""SLURRY_FLOW_LINE_B_seg1_mean"", ""STAGE_ROTATION_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_median""]"
low,3,SVR,5.746180733954716,7.423201915765314,6.122509948169146,"{""C"": 56.11505534548386, ""epsilon"": 0.019324123202060558, ""gamma"": 0.009920734710433133}",38,"[""USAGE_OF_DRESSER_TABLE_median"", ""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg1_mean"", ""USAGE_OF_DRESSER_median"", ""USAGE_OF_BACKING_FILM_median"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q90"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""SLURRY_FLOW_LINE_C_q90"", ""SLURRY_FLOW_LINE_C_q25"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""WAFER_ROTATION_seg2_std"", ""SLURRY_FLOW_LINE_C_seg1_std"", ""SLURRY_FLOW_LINE_C_q10"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""WAFER_ROTATION_slope"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""WAFER_ROTATION_seg2_mean"", ""SLURRY_FLOW_LINE_C_seg1_median"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""WAFER_ROTATION_seg3_std"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""MAIN_OUTER_AIR_BAG_PRESSURE_seg1_mean"", ""STAGE_ROTATION_seg1_std"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_upper_tail_ratio"", ""USAGE_OF_POLISHING_TABLE_median"", ""SLURRY_FLOW_LINE_C_q75"", ""SLURRY_FLOW_LINE_C_seg2_mean"", ""SLURRY_FLOW_LINE_B_seg1_std"", ""SLURRY_FLOW_LINE_B_seg1_mean"", ""STAGE_ROTATION_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_median""]"
low,4,XGBoost,5.219992379510007,7.416417061749936,5.960475492645774,"{""n_estimators"": 769, ""max_depth"": 2, ""learning_rate"": 0.027547748155948883, ""colsample_bytree"": 0.8084679624722051}",40,"[""CENTER_AIR_BAG_PRESSURE_q75"", ""CENTER_AIR_BAG_PRESSURE_q90"", ""USAGE_OF_DRESSER_TABLE_median"", ""RIPPLE_AIR_BAG_PRESSURE_q90"", ""USAGE_OF_DRESSER_median"", ""SLURRY_FLOW_LINE_C_q25"", ""WAFER_ROTATION_seg2_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_q90"", ""USAGE_OF_BACKING_FILM_median"", ""SLURRY_FLOW_LINE_C_seg1_mean"", ""SLURRY_FLOW_LINE_A_seg1_std"", ""EDGE_AIR_BAG_PRESSURE_seg1_mean"", ""WAFER_ROTATION_seg2_std"", ""EDGE_AIR_BAG_PRESSURE_q75"", ""PRESSURIZED_CHAMBER_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_A_q75"", ""MAIN_OUTER_AIR_BAG_PRESSURE_seg1_mean"", ""SLURRY_FLOW_LINE_C_seg1_median"", ""USAGE_OF_POLISHING_TABLE_median"", ""EDGE_AIR_BAG_PRESSURE_seg3_std"", ""SLURRY_FLOW_LINE_C_q75"", ""MAIN_OUTER_AIR_BAG_PRESSURE_q75"", ""STAGE_ROTATION_seg1_std"", ""WAFER_ROTATION_seg1_std"", ""SLURRY_FLOW_LINE_A_seg1_mean"", ""PRESSURIZED_CHAMBER_PRESSURE_q75"", ""RIPPLE_AIR_BAG_PRESSURE_q75"", ""EDGE_AIR_BAG_PRESSURE_q90"", ""PRESSURIZED_CHAMBER_PRESSURE_median"", ""WAFER_ROTATION_seg3_std"", ""WAFER_ROTATION_seg1_mean"", ""MAIN_OUTER_AIR_BAG_PRESSURE_std"", ""SLURRY_FLOW_LINE_C_stability"", ""CENTER_AIR_BAG_PRESSURE_spike_count"", ""SLURRY_FLOW_LINE_B_seg1_mean"", ""STAGE_ROTATION_q75"", ""DURATION_SEC"", ""SLURRY_FLOW_LINE_B_seg1_std"", ""RETAINER_RING_PRESSURE_q90"", ""HEAD_ROTATION_seg2_mean""]"
