group,model,Training_MSE_Mean,Training_MSE_STD,Validation_MSE_Mean,Validation_MSE_STD,Final_Test_MSE_Mean,Final_Test_MSE_STD
low,XGBoost,4.377401269604593,6.8503518302449615,9.949366466436308,14.356320230271363,12.98389401269161,24.519261376186147
low,RandomForest,2.9645419455848527,5.064630645292917,14.510166986479526,22.030087994261127,16.32279856666886,31.360850513214867
low,SVR,9.612142158186524,20.21799770393639,23.89034397275634,42.260360751721365,21.72237607466735,40.49085088120207
low,EnsembleMean,4.420518758770874,7.657614738609725,13.43498667855179,19.91827403395389,14.926727030913645,28.19667198928283
low,EnsembleWeighted,3.8418569807118637,5.952325774155705,10.3335837646061,14.750287022017384,13.177732647627217,25.312321139859023
high,XGBoost,1.268194514185156,2.065834134001899,7.493396959256575,11.607452243256471,9.890285293311926,16.35999040867752
high,RandomForest,1.3172204358678417,2.2157758037180972,7.104285295340613,10.118253965289105,11.08792248888217,20.274577320290945
high,SVR,8.75718433497782,17.50643559315613,8.47331171606731,10.650439047396997,15.943610945274838,29.537480294891758
high,EnsembleMean,2.733199969430173,5.0677580950431,7.119173825789026,10.216979779819066,11.426428517555534,20.697662195658303
high,EnsembleWeighted,2.497798427685556,4.619173850994661,7.071034083099833,10.077253689402259,11.55808277552757,21.20957883431415
