model,group,param,setting
XGBoost,low,n_estimators,"int, 650 ~ 900"
XGBoost,low,max_depth,"int, 2 ~ 4"
XGBoost,low,learning_rate,"float(log), 0.015 ~ 0.04"
XGBoost,low,colsample_bytree,"float, 0.80 ~ 1.00"
XGBoost,high,n_estimators,"int, 500 ~ 750"
XGBoost,high,max_depth,"int, 2 ~ 3"
XGBoost,high,learning_rate,"float(log), 0.015 ~ 0.04"
XGBoost,high,colsample_bytree,"float, 0.85 ~ 1.00"
RandomForest,low,n_estimators,"int, 250 ~ 380"
RandomForest,low,max_depth,"int, 12 ~ 22"
RandomForest,low,min_samples_split,"int, 2 ~ 6"
RandomForest,low,max_features,"float, 0.25 ~ 0.45"
RandomForest,high,n_estimators,"int, 220 ~ 340"
RandomForest,high,max_depth,"int, 6 ~ 12"
RandomForest,high,min_samples_split,"int, 2 ~ 4"
RandomForest,high,max_features,"float, 0.20 ~ 0.40"
SVR,low,C,"float(log), 30 ~ 100"
SVR,low,epsilon,"float(log), 0.003 ~ 0.02"
SVR,low,gamma,"float(log), 0.001 ~ 0.01"
SVR,high,C,"float(log), 3 ~ 20"
SVR,high,epsilon,"float(log), 0.02 ~ 0.08"
SVR,high,gamma,"float(log), 2e-4 ~ 2e-3"
