WAFER_ID,STAGE,AVG_REMOVAL_RATE,group
-1183530580,A,143.94315,high
-1183530584,A,150.78345,high
-1183530588,A,148.3368,high
-1183530592,A,148.788,high
-1183530596,A,147.31785,high
-1183530604,A,148.833,high
-1183530608,A,151.70085,high
-1183530612,A,141.7074,high
-1183530620,A,143.5344,high
-1183530624,A,145.548,high
-1183530626,A,143.36115,high
-1183530654,A,144.801,high
-1193530626,A,150.68295,high
-1193530630,A,150.02415,high
-1193530634,A,147.0042,high
-1193530642,A,149.961,high
-1193530646,A,150.9651,high
-1193530650,A,150.56655,high
-1193530654,A,150.48345,high
-1193530674,A,149.74545,high
-1193530682,A,154.33335,high
-1193530852,A,153.5973,high
-1193530880,A,152.3616,high
-1690100608,B,83.39745,low
-1690100610,A,74.38995,low
-1696100360,A,76.45965,low
-1714100520,A,70.3704,low
-1714100520,B,78.3654,low
-1714100524,B,82.3443,low
-1714100536,B,82.1631,low
-1714100682,A,73.40895,low
-1714100682,B,78.89835,low
-1714100686,A,81.37515,low
-1714100690,A,85.1211,low
-1714100694,A,82.302,low
-1714100702,B,77.20935,low
-1714100726,B,85.57245,low
-1716100432,A,71.0547,low
-1716100432,B,77.9922,low
-1716100476,B,81.30195,low
-1718100536,A,80.21895,low
-1718100544,A,77.9391,low
-1718100544,B,99.8547,low
-1718100702,B,82.80285,low
-1720100468,B,81.8391,low
-1720100480,B,87.10995,low
-1720100534,B,86.83545,low
-1720100542,B,81.06,low
-2033929414,A,69.3573,low
-2033929414,B,74.8554,low
-2033929418,B,84.2412,low
-2033929430,A,71.89785,low
-2033929434,A,69.1461,low
-2033929438,B,73.20885,low
-2033929450,A,73.62825,low
-2033929470,A,69.57765,low
-2039929184,B,80.3745,low
-2039929212,A,72.7194,low
-2039929274,B,57.86805,low
-2045929236,B,95.66055,low
-2045929442,B,89.28975,low
-2045929446,A,78.26415,low
-2129929504,A,72.59925,low
-2129929504,B,81.63585,low
-2129929698,A,72.6846,low
-2129929706,B,80.031,low
-2129929714,A,70.611,low
-2129929722,B,70.425,low
-2131929416,A,73.7868,low
-2131929428,B,62.51955,low
-2131929448,A,70.9506,low
-2131929452,B,80.4066,low
-2131929464,A,71.7369,low
-2131929468,B,71.2935,low
-2131929478,A,74.5983,low
-2131929482,A,71.1417,low
-2133929492,A,78.50115,low
-2133929492,B,80.89845,low
-2133929500,A,78.58245,low
-2135929424,A,72.7296,low
-2135929428,B,77.97375,low
-2135929432,A,77.40675,low
-2135929432,B,83.61255,low
-2135929440,A,73.88445,low
-2135929448,B,87.30135,low
-2135929452,A,79.38405,low
-2135929464,B,82.5075,low
-2135929468,A,74.92005,low
-2135929472,A,77.1156,low
-2137929682,A,73.75395,low
-2137929686,A,68.4723,low
-2137929690,B,61.46865,low
-2137929694,A,63.66765,low
-2137929706,B,76.2096,low
-2139929710,A,67.059,low
-2139929736,B,78.23085,low
-2139929744,A,69.3282,low
-2139929748,B,77.6979,low
-2139929752,B,81.31035,low
-2139929764,B,68.93775,low
-2139929772,A,68.1027,low
-2139929788,A,67.07565,low
-2141929486,A,70.0587,low
-2141929506,A,63.6441,low
-2141929510,B,64.54035,low
-2141929514,A,62.6505,low
-2141929518,A,63.01935,low
-2141929522,B,62.2413,low
-2141929700,A,69.78255,low
-2141929716,B,61.07565,low
-2143929710,A,62.32305,low
-2143929718,A,62.0946,low
-2143929718,B,65.418,low
-2143929740,A,66.82695,low
-2143929760,A,67.4037,low
-2143929764,B,65.5896,low
-2143929768,A,65.1417,low
-2149929514,B,78.57975,low
-2149929534,A,62.46855,low
-2149929672,A,67.55865,low
-2151929732,B,57.3687,low
-2151929736,B,60.4107,low
-2565249986,B,72.36045,low
-2565249990,A,66.61725,low
-2565249994,B,71.7765,low
-2565249998,A,74.24535,low
-2565250002,B,72.56745,low
-2565250042,B,68.8815,low
-2565250046,B,70.1796,low
-2567249732,B,85.7958,low
-2567249740,B,79.13625,low
-2567249744,A,74.18595,low
-2567249744,B,80.82315,low
-2567249752,A,77.34615,low
-2567249752,B,89.514,low
-2567249756,A,77.10945,low
-2567249760,B,76.377,low
-2567249764,A,72.5646,low
-2567249764,B,84.1191,low
-2567249788,A,69.8877,low
-2567249788,B,90.30495,low
-2567249792,A,69.47295,low
-2567249792,B,85.66785,low
-2567249826,B,75.96225,low
-2567249846,B,76.0545,low
-2567249850,B,84.954,low
-2569249800,A,74.44455,low
-2569249804,B,87.8685,low
-2569249820,A,74.15805,low
-2569250018,B,85.6875,low
-2569250022,B,83.93655,low
-2569250026,B,78.27915,low
-2569250030,A,69.40155,low
-2569250038,A,69.4479,low
-2569250042,B,88.16265,low
-2579249780,B,87.85365,low
-2579249784,A,73.7235,low
-2579249810,A,73.55835,low
-2579249814,A,56.5359,low
-2579249818,B,89.48385,low
-2697400532,B,64.45425,low
-2697400536,B,69.83865,low
-2699400356,B,76.6998,low
-2699400364,A,68.90235,low
-2699400364,B,75.6822,low
-2701400532,A,58.7895,low
-2701400552,B,71.81595,low
-3287299576,B,78.7572,low
-3780722694,A,80.22075,low
-3780722722,B,89.0343,low
-3780722726,B,87.85815,low
-3780722750,B,85.98645,low
-3784722754,B,82.69755,low
-3784722762,A,69.09915,low
-3784722766,A,66.1359,low
-3784722770,A,69.8193,low
-3784722774,A,68.8947,low
-3784722774,B,76.60005,low
-3784722786,A,69.01545,low
-3784722864,A,75.7092,low
-4017511492,B,73.24545,low
-4017511504,A,68.45955,low
-4017511586,B,72.0225,low
-4019511616,B,72.30285,low
-4019511758,B,73.41675,low
-4019511766,B,74.9574,low
-4019511770,A,68.5083,low
-4019511774,A,73.5558,low
-4019511774,B,73.9884,low
-4019511794,A,68.82615,low
-4019511806,A,67.1346,low
-4021511496,B,65.007,low
-4021511500,B,59.4282,low
-4021511536,B,66.4755,low
-4021511544,B,81.4473,low
-4021511602,A,61.01325,low
-4021511614,B,63.3792,low
-4023511592,A,72.44115,low
-4023511592,B,64.75125,low
-4023511604,B,67.70235,low
-4023511746,A,68.589,low
-4023511746,B,64.8564,low
-4023511794,A,68.91195,low
-4023511798,A,69.38895,low
-4023511798,B,65.6472,low
-4023511802,A,61.9821,low
-4023511802,B,64.1037,low
-4025511496,A,65.40075,low
-4025511536,B,57.73245,low
-4025511548,A,69.52515,low
